iter	Logloss
0	0.6856527605
1	0.6777817898
2	0.6702141143
3	0.6629938434
4	0.6568439387
5	0.6512756633
6	0.6443069415
7	0.6364567718
8	0.6314582148
9	0.6280875469
10	0.6214899371
11	0.6158412502
12	0.6123739291
13	0.6051891623
14	0.6004168513
15	0.5960368522
16	0.592209019
17	0.5884442156
18	0.5828191791
19	0.5792191307
20	0.5754011566
21	0.5708371402
22	0.5678723475
23	0.5639332719
24	0.5620501293
25	0.5601279493
26	0.557928746
27	0.5555126999
28	0.553022739
29	0.5499026515
30	0.5477327975
31	0.5440311378
32	0.5409953369
33	0.5369663897
34	0.5326829299
35	0.5304135163
36	0.5289409221
37	0.5262388484
38	0.5246987793
39	0.521948265
40	0.5187484499
41	0.5171649552
42	0.5145128038
43	0.5129185952
44	0.5105692831
45	0.5088410364
46	0.5076019829
47	0.505962411
48	0.5041509035
49	0.5031719475
50	0.5013338832
51	0.4999108123
52	0.4978461599
53	0.4951384444
54	0.4939279423
55	0.4918463642
56	0.4893079628
57	0.4871592517
58	0.4850829736
59	0.4835496862
60	0.4819509184
61	0.4797139315
62	0.4783886536
63	0.4768804983
64	0.4747932213
65	0.4731595193
66	0.4723002971
67	0.4717205486
68	0.4709753042
69	0.4701121497
70	0.4693982492
71	0.4679862912
72	0.4663961288
73	0.4641665504
74	0.462833864
75	0.4621743025
76	0.4615366532
77	0.4590497983
78	0.4580270748
79	0.4575318409
80	0.4561598891
81	0.4551982007
82	0.4546644423
83	0.4539667267
84	0.4533332946
85	0.4520342602
86	0.4511499912
87	0.4506405671
88	0.4501141602
89	0.4488750782
90	0.448077518
91	0.4468855088
92	0.4463367053
93	0.4455216494
94	0.4450818658
95	0.444477555
96	0.4435203403
97	0.4423473654
98	0.4417342783
99	0.4412631223
100	0.4407012683
101	0.4402975017
102	0.4398731335
103	0.4393241875
104	0.4388094919
105	0.4379816705
106	0.4372805356
107	0.4367018699
108	0.4357824388
109	0.4353086612
110	0.4348075575
111	0.4344806974
112	0.4340540782
113	0.4336260057
114	0.4326242541
115	0.4321057118
116	0.4316296831
117	0.4308282476
118	0.4304606975
119	0.430079299
120	0.4292462916
121	0.4288761484
122	0.4279090461
123	0.427461341
124	0.4270489405
125	0.4262003752
126	0.4259404201
127	0.425528789
128	0.42503384
129	0.4245232761
130	0.4235965219
131	0.4228629033
132	0.4224620431
133	0.4219779505
134	0.4214966504
135	0.4207267298
136	0.419630861
137	0.4193323529
138	0.4188393986
139	0.4183421985
140	0.4178810155
141	0.4174431125
142	0.417054163
143	0.4164394518
144	0.4161423684
145	0.4157452695
146	0.4147981702
147	0.4144551253
148	0.4141355313
149	0.4137205094
150	0.4132311168
151	0.4129283916
152	0.4125714983
153	0.4121085772
154	0.4117302846
155	0.4113506812
156	0.4109819628
157	0.4107072761
158	0.4104355813
159	0.4101646844
160	0.4097678134
161	0.409465943
162	0.4091484576
163	0.4088669892
164	0.4084242421
165	0.4080622483
166	0.4077274953
167	0.4073883256
168	0.4071576059
169	0.4067821057
170	0.4064792095
171	0.4060705418
172	0.4058226399
173	0.4054299861
174	0.4048318872
175	0.404137249
176	0.4037826638
177	0.4034200431
178	0.4031005631
179	0.4022934858
180	0.4018704853
181	0.401609476
182	0.4013716326
183	0.401083924
184	0.4003176222
185	0.3999897648
186	0.3998226162
187	0.3994981782
188	0.3989364667
189	0.3987433596
190	0.3984339097
191	0.3981655203
192	0.397762466
193	0.3974237237
194	0.3970784277
195	0.3968404989
196	0.396576982
197	0.3962919518
198	0.3958881282
199	0.395608512
200	0.3952490257
201	0.3950410446
202	0.3946973728
203	0.3943158888
204	0.3940168393
205	0.3936973308
206	0.3933687611
207	0.3931709525
208	0.392990269
209	0.3927745659
210	0.3926547751
211	0.3923942502
212	0.3920444521
213	0.3916831992
214	0.3914074867
215	0.3911753422
216	0.3907631412
217	0.39058374
218	0.3903463241
219	0.390045394
220	0.3898704094
221	0.3893027426
222	0.3890080528
223	0.3887767347
224	0.3882737218
225	0.3881054049
226	0.3879174269
227	0.3876594095
228	0.387445302
229	0.3872155796
230	0.3868057721
231	0.3866375408
232	0.3863577251
233	0.3861777255
234	0.3859075409
235	0.3856397214
236	0.3854012512
237	0.3851080715
238	0.3848797738
239	0.3845439665
240	0.3842369386
241	0.3837974399
242	0.3834165828
243	0.3831128887
244	0.3828569229
245	0.3826293945
246	0.3823622874
247	0.3821284332
248	0.3818748609
249	0.381632373
250	0.3813448068
251	0.381080891
252	0.3807291553
253	0.3801877603
254	0.3799723136
255	0.3797880969
256	0.3794267585
257	0.3792151016
258	0.3788785534
259	0.378630509
260	0.3783281542
261	0.3780242606
262	0.37773886
263	0.3774897899
264	0.377257332
265	0.3770038452
266	0.37675714
267	0.3764641029
268	0.3762536427
269	0.3758660324
270	0.375685577
271	0.3754854318
272	0.3750288649
273	0.3748346751
274	0.374376427
275	0.3741114854
276	0.3737175209
277	0.3734396428
278	0.3731468906
279	0.3729910543
280	0.3727551771
281	0.3725044828
282	0.3720170278
283	0.3717665045
284	0.3714973742
285	0.3712765705
286	0.3710092924
287	0.3707907398
288	0.3706625147
289	0.3704632813
290	0.3701591883
291	0.3698194773
292	0.3694646926
293	0.3693113354
294	0.3691537894
295	0.3689904876
296	0.3686088042
297	0.3684152698
298	0.3681192122
299	0.3678931941
300	0.3676878059
301	0.3674576561
302	0.3672587362
303	0.3670035397
304	0.3667668931
305	0.3664240761
306	0.3661478507
307	0.3659277595
308	0.3657040494
309	0.3654923354
310	0.3652946123
311	0.3650725834
312	0.3648577351
313	0.3646488136
314	0.3643541523
315	0.3641444045
316	0.363902344
317	0.3637125993
318	0.3635130525
319	0.3633933472
320	0.3631353298
321	0.3629526518
322	0.3627899483
323	0.3625744731
324	0.362281721
325	0.3616582049
326	0.361518582
327	0.3611834871
328	0.3608800494
329	0.3605904601
330	0.3604107455
331	0.3602182084
332	0.3600436512
333	0.3597197261
334	0.3594467491
335	0.3592785177
336	0.3591040746
337	0.3588467125
338	0.3586043955
339	0.3582199481
340	0.3579973778
341	0.35773104
342	0.3574975563
343	0.3571481571
344	0.3569979913
345	0.3566854924
346	0.356401659
347	0.3562842333
348	0.3560919811
349	0.355881065
350	0.3555327771
351	0.3551194933
352	0.3548876908
353	0.3546859784
354	0.3544968036
355	0.3542415501
356	0.354007924
357	0.353742327
358	0.3532561543
359	0.3530405082
360	0.3527492377
361	0.3525063508
362	0.3523284884
363	0.3521490302
364	0.3519459501
365	0.3516715198
366	0.3514666446
367	0.3513879999
368	0.3508958149
369	0.3507012261
370	0.350420869
371	0.3501546452
372	0.3498610667
373	0.3496791865
374	0.349506396
375	0.3492337039
376	0.3489581624
377	0.3487805848
378	0.348563172
379	0.3484030046
380	0.3481988132
381	0.3480287297
382	0.347852121
383	0.3476911842
384	0.3474641118
385	0.3472283485
386	0.3469519522
387	0.346690145
388	0.3464696548
389	0.3462266254
390	0.3459861321
391	0.3457140954
392	0.3453609634
393	0.3451322668
394	0.3449626107
395	0.3446635042
396	0.3443457909
397	0.3442024922
398	0.3439740235
399	0.3438263652
400	0.3436492151
401	0.3434821805
402	0.3432183502
403	0.3428523672
404	0.342544228
405	0.3422921089
406	0.3420850111
407	0.3414307495
408	0.3412419737
409	0.3410010244
410	0.3407847229
411	0.3405508118
412	0.340320605
413	0.3401664214
414	0.3399597795
415	0.339792004
416	0.3396190426
417	0.3393717676
418	0.3390690993
419	0.3387250001
420	0.3385451145
421	0.3382340404
422	0.3380184797
423	0.3378056545
424	0.3375853922
425	0.33741112
426	0.3371440699
427	0.3369587988
428	0.336620085
429	0.3364393731
430	0.3362504263
431	0.3360446677
432	0.3358280812
433	0.3356224651
434	0.3353741073
435	0.3351565805
436	0.3349670923
437	0.3348333962
438	0.3345114657
439	0.334185489
440	0.3339128539
441	0.3337034765
442	0.3334721584
443	0.3332955497
444	0.3331553854
445	0.332829836
446	0.3326356462
447	0.3324930314
448	0.3322613429
449	0.3320342704
450	0.3317938341
451	0.3314741831
452	0.3312434634
453	0.3310680229
454	0.3307967556
455	0.3305930201
456	0.3303653208
457	0.3301385903
458	0.3299784513
459	0.3297711256
460	0.3295810675
461	0.3293694105
462	0.3290113205
463	0.3286934647
464	0.3285080512
465	0.3283063388
466	0.3281330924
467	0.3279837244
468	0.327691998
469	0.3275355919
470	0.3273043307
471	0.3270957512
472	0.3268913889
473	0.3267295688
474	0.3265318741
475	0.3262429687
476	0.3259784545
477	0.3258166059
478	0.3253408908
479	0.3251341634
480	0.3249041275
481	0.3246292413
482	0.3244132248
483	0.3242192629
484	0.3238695218
485	0.32365171
486	0.3234474902
487	0.3232920528
488	0.3231360171
489	0.3229111102
490	0.3227239301
491	0.3224952904
492	0.3223210467
493	0.3221491966
494	0.3218866485
495	0.3216969608
496	0.3214885523
497	0.3212600836
498	0.3210430982
499	0.3208357725
500	0.3206893109
501	0.3204718696
502	0.3203174295
503	0.3200653675
504	0.3198857953
505	0.3196845673
506	0.319539445
507	0.3193594169
508	0.319194149
509	0.3190357767
510	0.3188894861
511	0.3187029613
512	0.3185030726
513	0.3182904754
514	0.3181213322
515	0.3178700395
516	0.3176973915
517	0.3175329784
518	0.3173675965
519	0.3171774244
520	0.3170104183
521	0.3168087629
522	0.3165928888
523	0.3164540637
524	0.3162206085
525	0.3159744163
526	0.3157291929
527	0.3154979603
528	0.3153113215
529	0.3150510815
530	0.3148554099
531	0.3146406471
532	0.314421952
533	0.3141842227
534	0.3140386159
535	0.3138943199
536	0.3137285676
537	0.3133715889
538	0.3131829555
539	0.3130618825
540	0.3129029688
541	0.3127553674
542	0.3125687002
543	0.3123505465
544	0.3121608588
545	0.311999979
546	0.3118287273
547	0.311696057
548	0.311459268
549	0.3112649642
550	0.31111363
551	0.3109440309
552	0.3106730485
553	0.3104993462
554	0.3102864355
555	0.3101144999
556	0.3098447712
557	0.3096019699
558	0.3095201907
559	0.3093159993
560	0.3091336062
561	0.3090333057
562	0.3088234439
563	0.308593522
564	0.3083701539
565	0.3081585824
566	0.3079160375
567	0.30775909
568	0.3075224719
569	0.3073308751
570	0.3070677571
571	0.3068647625
572	0.3067073306
573	0.3065288127
574	0.3063612652
575	0.3061393503
576	0.3059283772
577	0.3057289159
578	0.3055426761
579	0.3053657824
580	0.3051216987
581	0.3049695098
582	0.3048086015
583	0.3045860597
584	0.3044475196
585	0.3042499104
586	0.3040448357
587	0.303878257
588	0.3037425094
589	0.3035493169
590	0.3034216046
591	0.3031786038
592	0.3029859812
593	0.3027885715
594	0.3026486636
595	0.3024364938
596	0.3021832919
597	0.3020186509
598	0.3018011811
599	0.3016311831
600	0.3014901354
601	0.3013572942
602	0.3011987795
603	0.3010386406
604	0.3008908112
605	0.3007417567
606	0.3005804495
607	0.3004231315
608	0.3002283433
609	0.3001006311
610	0.2998828763
611	0.2997589824
612	0.2995439631
613	0.2994069047
614	0.2992270476
615	0.2990301793
616	0.2988480711
617	0.2986999569
618	0.2985166234
619	0.2983258245
620	0.2980948198
621	0.2979594996
622	0.2977725188
623	0.2975263836
624	0.2973772435
625	0.2972715291
626	0.2970937236
627	0.2969154052
628	0.2967998886
629	0.2966321986
630	0.2964847967
631	0.2962769296
632	0.2960767559
633	0.2959743183
634	0.2958226422
635	0.2956038902
636	0.2954382518
637	0.2952707043
638	0.2950794494
639	0.2949601146
640	0.2947655543
641	0.2945731882
642	0.2943943854
643	0.2942768742
644	0.2940621398
645	0.293950698
646	0.2937169578
647	0.293440191
648	0.2932557463
649	0.2930914757
650	0.2929899499
651	0.2927287696
652	0.2925595124
653	0.2923911671
654	0.2922725161
655	0.292089952
656	0.2918938816
657	0.2917001192
658	0.2915622629
659	0.2913750543
660	0.2912402469
661	0.2910561156
662	0.2908938396
663	0.2907152933
664	0.2905241239
665	0.2903318147
666	0.2901838999
667	0.2900169223
668	0.2898574387
669	0.2896945074
670	0.2895125987
671	0.289320375
672	0.2891624586
673	0.2889849381
674	0.2888614715
675	0.2887088836
676	0.2885021277
677	0.2882963122
678	0.2881629581
679	0.2879686828
680	0.287818004
681	0.2876337302
682	0.2875386157
683	0.2874018992
684	0.2872170841
685	0.2870532979
686	0.2867738241
687	0.2866325485
688	0.2864448839
689	0.2862884778
690	0.2861357189
691	0.2859722177
692	0.2858091153
693	0.2856874154
694	0.2855775407
695	0.2854424485
696	0.2853610398
697	0.2851670779
698	0.2850631871
699	0.2848527269
700	0.2847478388
701	0.2846081304
702	0.2844575656
703	0.2843081121
704	0.2841442974
705	0.2839878342
706	0.2838635129
707	0.283703146
708	0.2835369947
709	0.2833637198
710	0.2831840337
711	0.2830183669
712	0.2828715633
713	0.2826899396
714	0.2825156674
715	0.2823949078
716	0.2822170453
717	0.2820536581
718	0.2819324996
719	0.2817640118
720	0.2816138174
721	0.2814450447
722	0.281352979
723	0.2811971997
724	0.281023013
725	0.2808642988
726	0.2806491656
727	0.2805313125
728	0.280381745
729	0.2802754891
730	0.2801688058
731	0.2800379022
732	0.279933185
733	0.2797806541
734	0.2796370705
735	0.2794886428
736	0.2793799649
737	0.2792526516
738	0.2790346404
739	0.278894704
740	0.2787796434
741	0.2786699966
742	0.2785267549
743	0.2784000115
744	0.2782640359
745	0.2780145668
746	0.2778220867
747	0.2776422296
748	0.2775825907
749	0.2773863207
750	0.2771960917
751	0.2770850202
752	0.276908041
753	0.2767696719
754	0.2765479564
755	0.2763785283
756	0.2762366258
757	0.2760900218
758	0.2759481478
759	0.2757601983
760	0.2756247071
761	0.2754900707
762	0.2753587682
763	0.2752236474
764	0.2750439043
765	0.2748793772
766	0.2747344258
767	0.2745963986
768	0.2744380548
769	0.2742731858
770	0.2740825578
771	0.2739262087
772	0.273702983
773	0.2735828788
774	0.2734381269
775	0.2733100442
776	0.2731779724
777	0.2730423957
778	0.2729244855
779	0.272788396
780	0.2725930949
781	0.2724007002
782	0.2722576579
783	0.2721401183
784	0.2719581526
785	0.2717802616
786	0.2716450268
787	0.2715044636
788	0.2713153173
789	0.2711585122
790	0.2710431951
791	0.2708376075
792	0.2706303957
793	0.270518099
794	0.2703516913
795	0.2702103302
796	0.2701310301
797	0.270020842
798	0.2698292452
799	0.2697097394
800	0.2695953911
801	0.2694727793
802	0.2693465773
803	0.2691532708
804	0.2690544235
805	0.2688223076
806	0.2686276903
807	0.2684170307
808	0.2683145931
809	0.2681380413
810	0.2679691831
811	0.2678707632
812	0.2677491488
813	0.2676360828
814	0.2675082281
815	0.2673122716
816	0.2671694573
817	0.2670277828
818	0.2668960529
819	0.2667569144
820	0.2666333623
821	0.2665236586
822	0.2664315075
823	0.2662284844
824	0.2660858696
825	0.2659700111
826	0.2658338645
827	0.2657160113
828	0.2655657885
829	0.2654656874
830	0.2653034114
831	0.265186983
832	0.2650088641
833	0.2648644256
834	0.264645816
835	0.2645112936
836	0.2643632648
837	0.2642812862
838	0.2641028539
839	0.2638347494
840	0.2637624304
841	0.2635623423
842	0.2634512708
843	0.2632820991
844	0.2631653288
845	0.2630375026
846	0.2628940329
